,customer_id,Recency,Frequency,Monetary,r_quartile,f_quartile,m_quartile,RFM_Score,customer_category,state,age_range
199,213,28,11,8544.5,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
1074,1140,6,13,8533.23,1,1,1,111,Diamond,QLD,"(54.5, 72.25]"
2952,3117,25,9,8531.16,2,1,1,211,Platinum,VIC,"(36.75, 54.5]"
1538,1625,9,8,8499.59,1,1,1,111,Diamond,QLD,"(18.929, 36.75]"
2358,2492,7,10,8437.430000000002,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
2887,3048,4,13,8379.960000000001,1,1,1,111,Diamond,VIC,"(36.75, 54.5]"
448,473,115,9,8364.66,4,1,1,411,Silver,NSW,"(54.5, 72.25]"
2712,2860,8,9,8357.7,1,1,1,111,Diamond,VIC,"(36.75, 54.5]"
1254,1329,4,11,8352.16,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
794,841,150,7,8330.09,4,2,1,421,Silver,NSW,"(36.75, 54.5]"
327,347,59,7,8326.369999999999,3,2,1,321,Gold,NSW,"(36.75, 54.5]"
3264,3460,55,9,8321.810000000001,3,1,1,311,Gold,QLD,"(18.929, 36.75]"
1884,1991,1,10,8256.08,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
2253,2379,3,11,8252.73,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
3066,3242,49,7,8252.69,3,2,1,321,Gold,QLD,"(36.75, 54.5]"
2552,2695,4,9,8243.81,1,1,1,111,Diamond,VIC,"(54.5, 72.25]"
2616,2762,16,9,8237.49,1,1,1,111,Diamond,VIC,"(36.75, 54.5]"
973,1033,14,9,8220.05,1,1,1,111,Diamond,VIC,"(36.75, 54.5]"
691,733,46,10,8210.300000000001,3,1,1,311,Gold,QLD,"(36.75, 54.5]"
2517,2659,0,12,8143.93,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
1013,1076,9,12,8104.54,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
1495,1579,40,10,8102.619999999999,2,1,1,211,Platinum,QLD,"(54.5, 72.25]"
324,344,8,9,8101.259999999999,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
1630,1722,4,9,8086.750000000001,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
424,445,24,11,8081.860000000001,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
1709,1808,76,7,7965.280000000001,3,2,1,321,Gold,NSW,"(36.75, 54.5]"
2726,2874,60,11,7910.31,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
2587,2733,28,9,7827.410000000001,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
2332,2464,2,13,7817.099999999999,1,1,1,111,Diamond,QLD,"(54.5, 72.25]"
1394,1475,46,8,7812.170000000001,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
2327,2458,4,7,7756.790000000001,1,2,1,121,Diamond,NSW,"(18.929, 36.75]"
710,753,15,8,7727.17,1,1,1,111,Diamond,QLD,"(54.5, 72.25]"
1421,1503,160,8,7693.78,4,1,1,411,Silver,NSW,"(36.75, 54.5]"
417,438,51,8,7692.39,3,1,1,311,Gold,VIC,"(36.75, 54.5]"
3040,3212,99,7,7666.650000000001,4,2,1,421,Silver,VIC,"(36.75, 54.5]"
1488,1572,82,6,7651.02,3,3,1,331,Gold,VIC,"(18.929, 36.75]"
162,174,11,10,7628.239999999999,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
1217,1290,44,9,7616.04,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
2557,2702,19,8,7613.27,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
1768,1868,26,6,7566.25,2,3,1,231,Platinum,QLD,"(36.75, 54.5]"
968,1028,8,7,7562.68,1,2,1,121,Diamond,QLD,"(36.75, 54.5]"
867,921,44,8,7516.02,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
2429,2565,29,9,7496.359999999999,2,1,1,211,Platinum,VIC,"(36.75, 54.5]"
2342,2476,14,14,7493.2300000000005,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
2969,3134,64,7,7491.11,3,2,1,321,Gold,NSW,"(36.75, 54.5]"
1446,1530,1,10,7390.75,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
404,425,25,7,7388.6,2,2,1,221,Platinum,QLD,"(18.929, 36.75]"
1038,1103,32,12,7367.880000000001,2,1,1,211,Platinum,QLD,"(36.75, 54.5]"
2511,2653,3,9,7365.4800000000005,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
261,280,43,11,7360.53,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
1722,1821,24,12,7335.889999999999,2,1,1,211,Platinum,QLD,"(18.929, 36.75]"
683,725,3,11,7321.499999999999,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
3079,3256,12,10,7287.869999999999,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
187,200,7,9,7283.860000000001,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
805,853,64,9,7263.660000000001,3,1,1,311,Gold,QLD,"(18.929, 36.75]"
1878,1984,48,7,7256.080000000001,3,2,1,321,Gold,NSW,"(36.75, 54.5]"
3043,3215,66,7,7247.329999999999,3,2,1,321,Gold,VIC,"(36.75, 54.5]"
3274,3470,2,8,7228.8,1,1,1,111,Diamond,QLD,"(18.929, 36.75]"
678,720,20,10,7212.170000000001,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
300,320,12,10,7204.66,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
2035,2151,146,7,7187.34,4,2,1,421,Silver,VIC,"(54.5, 72.25]"
2187,2309,53,12,7161.990000000001,3,1,1,311,Gold,VIC,"(36.75, 54.5]"
1028,1093,99,9,7159.6900000000005,4,1,1,411,Silver,VIC,"(36.75, 54.5]"
573,607,58,10,7137.62,3,1,1,311,Gold,NSW,"(18.929, 36.75]"
2066,2184,37,11,7123.000000000001,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
664,706,30,6,7109.400000000001,2,3,1,231,Platinum,NSW,"(18.929, 36.75]"
533,565,104,10,7079.07,4,1,1,411,Silver,NSW,"(18.929, 36.75]"
1318,1396,9,10,7075.58,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
5,8,22,10,7066.94,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
1532,1619,84,10,7031.790000000001,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
1243,1317,10,9,7024.71,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
485,515,14,9,6986.24,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
478,506,56,10,6985.24,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
1785,1885,4,9,6979.28,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
1167,1237,23,11,6961.52,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
982,1043,154,8,6933.550000000001,4,1,1,411,Silver,NSW,"(18.929, 36.75]"
405,426,59,9,6933.150000000001,3,1,1,311,Gold,QLD,"(18.929, 36.75]"
1477,1561,43,8,6918.889999999999,2,1,1,211,Platinum,VIC,"(54.5, 72.25]"
108,117,5,10,6917.34,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
2336,2468,21,9,6900.789999999999,2,1,1,211,Platinum,VIC,"(36.75, 54.5]"
279,299,92,7,6897.92,4,2,1,421,Silver,NSW,"(18.929, 36.75]"
3102,3280,134,8,6881.08,4,1,1,411,Silver,QLD,"(54.5, 72.25]"
2560,2705,2,9,6879.610000000001,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
2303,2434,0,9,6874.53,1,1,1,111,Diamond,QLD,"(36.75, 54.5]"
2834,2992,9,8,6871.540000000002,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
2980,3146,54,8,6856.09,3,1,1,311,Gold,NSW,"(18.929, 36.75]"
2355,2489,40,8,6854.85,2,1,1,211,Platinum,VIC,"(36.75, 54.5]"
2243,2369,1,8,6854.59,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
2763,2914,12,12,6835.960000000001,1,1,1,111,Diamond,QLD,"(36.75, 54.5]"
2855,3015,46,10,6814.580000000001,3,1,1,311,Gold,VIC,"(18.929, 36.75]"
2478,2617,126,7,6814.219999999999,4,2,1,421,Silver,NSW,"(36.75, 54.5]"
239,255,57,11,6813.82,3,1,1,311,Gold,VIC,"(36.75, 54.5]"
3227,3420,5,11,6808.179999999999,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
333,353,23,11,6792.83,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
238,254,41,7,6780.950000000001,2,2,1,221,Platinum,VIC,"(36.75, 54.5]"
1927,2036,25,12,6770.240000000001,2,1,1,211,Platinum,VIC,"(36.75, 54.5]"
936,995,11,7,6764.670000000001,1,2,1,121,Diamond,VIC,"(36.75, 54.5]"
2680,2826,11,12,6755.16,1,1,1,111,Diamond,VIC,"(54.5, 72.25]"
1988,2103,14,10,6752.629999999999,1,1,1,111,Diamond,QLD,"(36.75, 54.5]"
1503,1589,11,6,6738.66,1,3,1,131,Diamond,NSW,"(18.929, 36.75]"
1271,1346,15,9,6736.530000000001,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
1789,1890,44,9,6710.76,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
2775,2929,1,9,6692.389999999999,1,1,1,111,Diamond,VIC,"(18.929, 36.75]"
1885,1992,140,10,6658.890000000001,4,1,1,411,Silver,NSW,"(54.5, 72.25]"
743,787,75,10,6646.0,3,1,1,311,Gold,QLD,"(36.75, 54.5]"
916,973,8,8,6639.85,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
1163,1233,14,9,6634.139999999999,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
185,198,58,9,6631.87,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
561,594,33,9,6630.720000000001,2,1,1,211,Platinum,QLD,"(36.75, 54.5]"
557,590,43,12,6629.57,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
2609,2755,28,12,6606.68,2,1,1,211,Platinum,VIC,"(36.75, 54.5]"
2577,2723,40,8,6591.0,2,1,1,211,Platinum,VIC,"(36.75, 54.5]"
1020,1084,4,11,6580.56,1,1,1,111,Diamond,VIC,"(36.75, 54.5]"
679,721,4,7,6579.619999999999,1,2,1,121,Diamond,NSW,"(54.5, 72.25]"
2645,2791,14,7,6578.149999999999,1,2,1,121,Diamond,NSW,"(18.929, 36.75]"
2374,2508,56,10,6568.91,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
1360,1438,6,11,6559.709999999999,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
2406,2542,43,7,6559.26,2,2,1,221,Platinum,NSW,"(18.929, 36.75]"
161,173,15,9,6549.509999999999,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
1699,1797,54,11,6539.78,3,1,1,311,Gold,VIC,"(36.75, 54.5]"
1605,1696,28,9,6524.77,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
1763,1863,24,6,6524.34,2,3,1,231,Platinum,NSW,"(36.75, 54.5]"
1463,1547,27,9,6523.19,2,1,1,211,Platinum,QLD,"(18.929, 36.75]"
2694,2841,16,7,6522.280000000001,1,2,1,121,Diamond,VIC,"(36.75, 54.5]"
3111,3290,2,8,6520.130000000001,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
255,273,28,10,6519.24,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
2065,2183,8,14,6513.299999999999,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
2519,2662,62,9,6500.299999999999,3,1,1,311,Gold,VIC,"(36.75, 54.5]"
1712,1811,32,8,6493.8,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
2454,2592,37,8,6490.3,2,1,1,211,Platinum,QLD,"(36.75, 54.5]"
2297,2428,10,9,6462.95,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
1212,1285,117,8,6456.51,4,1,1,411,Silver,NSW,"(36.75, 54.5]"
507,538,4,7,6447.150000000001,1,2,1,121,Diamond,NSW,"(36.75, 54.5]"
962,1022,83,5,6444.49,3,3,1,331,Gold,NSW,"(54.5, 72.25]"
1424,1506,0,10,6435.1,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
1959,2070,4,9,6433.75,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
668,710,39,7,6431.69,2,2,1,221,Platinum,VIC,"(18.929, 36.75]"
326,346,12,9,6420.700000000001,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
2477,2616,42,11,6417.950000000002,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
2648,2794,5,7,6417.0599999999995,1,2,1,121,Diamond,NSW,"(18.929, 36.75]"
686,728,25,9,6411.759999999999,2,1,1,211,Platinum,QLD,"(18.929, 36.75]"
2017,2132,18,8,6401.830000000001,2,1,1,211,Platinum,VIC,"(18.929, 36.75]"
3073,3249,33,8,6400.0,2,1,1,211,Platinum,QLD,"(36.75, 54.5]"
2601,2747,14,8,6371.1500000000015,1,1,1,111,Diamond,VIC,"(54.5, 72.25]"
2825,2982,117,7,6366.75,4,2,1,421,Silver,NSW,"(18.929, 36.75]"
1362,1440,19,6,6362.47,2,3,1,231,Platinum,NSW,"(18.929, 36.75]"
2889,3050,66,9,6353.119999999999,3,1,1,311,Gold,NSW,"(18.929, 36.75]"
30,37,7,9,6338.49,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
2541,2684,38,9,6337.4,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
1685,1783,49,12,6331.35,3,1,1,311,Gold,VIC,"(54.5, 72.25]"
3028,3199,13,8,6329.52,1,1,1,111,Diamond,VIC,"(36.75, 54.5]"
1911,2019,52,9,6325.839999999998,3,1,1,311,Gold,QLD,"(36.75, 54.5]"
1084,1150,103,5,6308.280000000001,4,3,1,431,Silver,QLD,"(54.5, 72.25]"
2828,2985,38,10,6308.160000000001,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
890,946,2,8,6305.6,1,1,1,111,Diamond,QLD,"(36.75, 54.5]"
1065,1131,53,8,6295.52,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
2783,2937,7,7,6294.38,1,2,1,121,Diamond,NSW,"(54.5, 72.25]"
2082,2201,30,7,6291.68,2,2,1,221,Platinum,QLD,"(54.5, 72.25]"
191,204,27,8,6287.290000000001,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
2438,2574,27,11,6276.37,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
2323,2454,29,10,6272.209999999999,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
3075,3251,7,11,6264.879999999998,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
1311,1389,49,9,6263.12,3,1,1,311,Gold,NSW,"(18.929, 36.75]"
2071,2190,41,8,6260.31,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
629,665,85,8,6260.02,3,1,1,311,Gold,NSW,"(18.929, 36.75]"
1256,1331,5,10,6252.43,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
2341,2475,85,7,6245.25,3,2,1,321,Gold,VIC,"(36.75, 54.5]"
2953,3118,12,9,6243.8200000000015,1,1,1,111,Diamond,VIC,"(36.75, 54.5]"
2805,2961,2,6,6234.87,1,3,1,131,Diamond,NSW,"(36.75, 54.5]"
2620,2766,47,6,6233.3,3,3,1,331,Gold,QLD,"(18.929, 36.75]"
1420,1502,26,9,6209.68,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
2739,2887,24,9,6202.900000000001,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
2075,2194,42,8,6198.41,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
359,380,35,8,6196.16,2,1,1,211,Platinum,VIC,"(36.75, 54.5]"
1981,2095,20,10,6194.3,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
2872,3032,40,7,6183.31,2,2,1,221,Platinum,NSW,"(36.75, 54.5]"
154,165,8,9,6182.52,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
1392,1473,32,11,6176.3,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
23,29,22,9,6175.299999999999,2,1,1,211,Platinum,VIC,"(54.5, 72.25]"
3212,3405,52,9,6167.710000000001,3,1,1,311,Gold,NSW,"(18.929, 36.75]"
1494,1578,16,7,6165.099999999999,1,2,1,121,Diamond,QLD,"(54.5, 72.25]"
2402,2537,22,11,6157.03,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
2641,2787,37,6,6153.0,2,3,1,231,Platinum,NSW,"(18.929, 36.75]"
1529,1616,23,7,6150.249999999999,2,2,1,221,Platinum,NSW,"(18.929, 36.75]"
2509,2651,15,8,6148.630000000001,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
1227,1300,20,6,6148.62,2,3,1,231,Platinum,NSW,"(54.5, 72.25]"
1942,2051,51,6,6140.659999999999,3,3,1,331,Gold,VIC,"(36.75, 54.5]"
3095,3273,65,7,6133.650000000001,3,2,1,321,Gold,NSW,"(54.5, 72.25]"
1102,1168,59,7,6128.860000000001,3,2,1,321,Gold,VIC,"(54.5, 72.25]"
2120,2240,31,12,6128.299999999999,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
587,621,2,9,6126.8099999999995,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
1583,1672,42,12,6123.29,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
580,614,18,9,6120.459999999999,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
2543,2686,24,11,6119.729999999999,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
1411,1493,20,10,6117.049999999999,2,1,1,211,Platinum,QLD,"(36.75, 54.5]"
1179,1250,35,10,6093.259999999999,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
2412,2548,3,13,6085.99,1,1,1,111,Diamond,VIC,"(36.75, 54.5]"
32,39,34,12,6085.169999999998,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
537,569,98,4,6084.14,4,4,1,441,Bronze,NSW,"(18.929, 36.75]"
1048,1113,26,9,6072.48,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
1541,1629,1,7,6051.870000000001,1,2,1,121,Diamond,NSW,"(18.929, 36.75]"
887,943,112,7,6038.5199999999995,4,2,1,421,Silver,QLD,"(36.75, 54.5]"
3209,3402,12,9,6036.19,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
1905,2013,15,10,6025.309999999999,1,1,1,111,Diamond,VIC,"(36.75, 54.5]"
3238,3431,28,10,6022.119999999999,2,1,1,211,Platinum,QLD,"(36.75, 54.5]"
2179,2301,5,7,6010.17,1,2,1,121,Diamond,QLD,"(36.75, 54.5]"
1882,1988,134,8,6006.400000000001,4,1,1,411,Silver,NSW,"(36.75, 54.5]"
849,902,14,9,6003.049999999999,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
156,167,14,9,5993.34,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
72,80,28,10,5988.86,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
2331,2463,64,8,5972.620000000001,3,1,1,311,Gold,QLD,"(54.5, 72.25]"
1505,1591,29,11,5968.909999999999,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
2604,2750,42,11,5964.049999999999,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
1078,1144,17,7,5961.250000000001,1,2,1,121,Diamond,NSW,"(54.5, 72.25]"
1226,1299,6,7,5957.78,1,2,1,121,Diamond,NSW,"(54.5, 72.25]"
2892,3055,58,10,5955.54,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
2403,2538,35,9,5949.920000000001,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
2895,3058,24,5,5935.450000000001,2,3,1,231,Platinum,NSW,"(36.75, 54.5]"
225,239,1,9,5928.23,1,1,1,111,Diamond,QLD,"(36.75, 54.5]"
3240,3433,0,10,5925.740000000001,1,1,1,111,Diamond,QLD,"(36.75, 54.5]"
3286,3484,79,7,5924.549999999999,3,2,1,321,Gold,NSW,"(36.75, 54.5]"
2943,3108,53,7,5916.21,3,2,1,321,Gold,QLD,"(54.5, 72.25]"
1273,1348,114,5,5915.86,4,3,1,431,Silver,NSW,"(36.75, 54.5]"
2051,2169,117,6,5907.85,4,3,1,431,Silver,NSW,"(36.75, 54.5]"
730,773,72,8,5907.35,3,1,1,311,Gold,VIC,"(36.75, 54.5]"
455,482,75,10,5887.200000000001,3,1,1,311,Gold,NSW,"(18.929, 36.75]"
1572,1661,218,6,5880.33,4,3,1,431,Silver,VIC,"(54.5, 72.25]"
2670,2816,8,10,5878.47,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
1433,1517,28,11,5878.150000000001,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
2388,2523,6,10,5877.28,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
2257,2383,21,9,5876.070000000001,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
1951,2060,5,11,5875.139999999999,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
1666,1762,21,12,5870.93,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
2265,2391,12,10,5862.450000000001,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
2212,2336,74,9,5853.82,3,1,1,311,Gold,VIC,"(36.75, 54.5]"
2752,2901,38,7,5850.340000000001,2,2,1,221,Platinum,VIC,"(18.929, 36.75]"
2453,2591,42,6,5839.219999999999,2,3,1,231,Platinum,QLD,"(36.75, 54.5]"
1137,1205,22,9,5828.490000000001,2,1,1,211,Platinum,QLD,"(18.929, 36.75]"
3150,3336,74,6,5824.4800000000005,3,3,1,331,Gold,VIC,"(18.929, 36.75]"
2778,2932,19,10,5823.710000000001,2,1,1,211,Platinum,VIC,"(18.929, 36.75]"
3108,3286,9,11,5817.4400000000005,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
3054,3228,40,7,5814.450000000001,2,2,1,221,Platinum,VIC,"(54.5, 72.25]"
777,823,23,6,5811.3,2,3,1,231,Platinum,QLD,"(54.5, 72.25]"
1800,1901,127,7,5809.11,4,2,1,421,Silver,QLD,"(54.5, 72.25]"
1381,1461,18,7,5805.92,2,2,1,221,Platinum,VIC,"(54.5, 72.25]"
2274,2401,21,8,5804.280000000001,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
2884,3045,65,6,5802.7699999999995,3,3,1,331,Gold,VIC,"(36.75, 54.5]"
3162,3350,38,6,5796.16,2,3,1,231,Platinum,NSW,"(36.75, 54.5]"
2883,3044,4,9,5793.33,1,1,1,111,Diamond,VIC,"(36.75, 54.5]"
43,50,26,8,5783.66,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
81,89,4,9,5779.65,1,1,1,111,Diamond,VIC,"(54.5, 72.25]"
3218,3411,30,7,5772.78,2,2,1,221,Platinum,NSW,"(36.75, 54.5]"
220,234,11,9,5763.129999999999,1,1,1,111,Diamond,QLD,"(36.75, 54.5]"
621,655,51,6,5753.88,3,3,1,331,Gold,VIC,"(36.75, 54.5]"
103,112,47,6,5742.19,3,3,1,331,Gold,NSW,"(36.75, 54.5]"
1733,1832,84,8,5739.569999999999,3,1,1,311,Gold,QLD,"(36.75, 54.5]"
436,461,20,8,5722.38,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
1041,1106,24,9,5691.61,2,1,1,211,Platinum,VIC,"(54.5, 72.25]"
1281,1357,12,10,5689.860000000001,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
2154,2275,121,6,5688.289999999999,4,3,1,431,Silver,NSW,"(54.5, 72.25]"
2897,3060,29,11,5684.7300000000005,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
2376,2510,111,6,5681.3,4,3,1,431,Silver,NSW,"(36.75, 54.5]"
650,691,39,8,5678.400000000001,2,1,1,211,Platinum,VIC,"(36.75, 54.5]"
3020,3191,7,8,5673.64,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
1596,1686,78,10,5672.849999999999,3,1,1,311,Gold,VIC,"(54.5, 72.25]"
514,545,6,6,5665.79,1,3,1,131,Diamond,VIC,"(54.5, 72.25]"
140,151,0,7,5665.410000000001,1,2,1,121,Diamond,QLD,"(36.75, 54.5]"
3029,3201,21,7,5655.870000000001,2,2,1,221,Platinum,VIC,"(36.75, 54.5]"
1633,1725,60,8,5652.16,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
1320,1398,36,7,5649.829999999999,2,2,1,221,Platinum,NSW,"(36.75, 54.5]"
2069,2187,63,7,5644.17,3,2,1,321,Gold,NSW,"(18.929, 36.75]"
2249,2375,43,7,5641.470000000001,2,2,1,221,Platinum,VIC,"(18.929, 36.75]"
2222,2347,87,9,5640.43,4,1,1,411,Silver,NSW,"(18.929, 36.75]"
1470,1554,20,7,5636.08,2,2,1,221,Platinum,NSW,"(18.929, 36.75]"
409,430,65,6,5625.17,3,3,1,331,Gold,NSW,"(36.75, 54.5]"
2226,2351,55,8,5612.839999999999,3,1,1,311,Gold,NSW,"(18.929, 36.75]"
3189,3379,20,6,5599.08,2,3,1,231,Platinum,NSW,"(18.929, 36.75]"
2472,2610,112,8,5598.91,4,1,1,411,Silver,VIC,"(36.75, 54.5]"
1332,1410,60,7,5597.110000000001,3,2,1,321,Gold,QLD,"(18.929, 36.75]"
2424,2560,45,11,5595.4400000000005,3,1,1,311,Gold,VIC,"(18.929, 36.75]"
2264,2390,69,7,5593.6,3,2,1,321,Gold,NSW,"(36.75, 54.5]"
2708,2856,6,7,5583.330000000001,1,2,1,121,Diamond,VIC,"(36.75, 54.5]"
725,768,5,9,5580.570000000001,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
